
1|1030.0|3.0000000000000027%
2|1060.9|6.090000000000018%
3|1092.727|9.2727%
4|1125.50881|12.550881000000015%
5|1159.2740743000002|15.927407430000006%
6|1194.0522965290002|19.40522965290001%
7|1229.8738654248702|22.98738654248702%
8|1266.7700813876163|26.677008138761636%
9|1304.7731838292448|30.477318382924466%
10|1343.916379344122|34.3916379344122%
11|1384.2338707244458|38.42338707244457%
12|1425.7608868461791|42.57608868461791%
13|1468.5337134515646|46.85337134515646%
14|1512.5897248551116|51.258972485511165%
15|1557.967416600765|55.796741660076506%
